company,penalty,lat,lon,city,state
"HERAEUS METAL PROCESSING, LLC",67500,36.1038,-84.5859,Wartburg,Tennessee
"HERAEUS METAL PROCESSING, LLC",67500,36.1038,-84.5859,Wartburg,Tennessee
NGK METALS CORPORATION,13000,35.6027,-84.4718,Sweetwater,Tennessee
GERDAU AMERISTEEL US INC,10000,35.6533,-88.8352,Jackson,Tennessee
ARMSTRONG HARDWOOD FLOORING COMPANY,10000,35.6533,-88.8352,Jackson,Tennessee
ARMSTRONG HARDWOOD FLOORING COMPANY,125000,35.6533,-88.8352,Jackson,Tennessee
KIMBERLY-CLARK CORP.,40000,35.7414,-84.3698,Loudon,Tennessee
KIMBERLY-CLARK CORP.,27000,35.7414,-84.3698,Loudon,Tennessee
ALBEMARLE U S INC,16500,36.0163,-87.9696,New Johnsonville,Tennessee
BFI WASTE SYSTEMS OF TENNESSEE DBA CARTER VALLEY LANDFILL,7500,36.5206,-82.7142,Church Hill,Tennessee
BAE SYSTEMS ORDNANCE SYSTEMS INC. HOLSTON ARMY AMMUNITION PLANT,12000,36.522,-82.5453,Kingsport,Tennessee
"AGC FLAT GLASS NORTH AMERICA, INC. - GREENLAND PLANT",8750,36.5206,-82.7142,Church Hill,Tennessee
"AGC FLAT GLASS NORTH AMERICA, INC. - GREENLAND PLANT",5000,36.5206,-82.7142,Church Hill,Tennessee
"AGC FLAT GLASS NORTH AMERICA, INC. - GREENLAND PLANT",8950,36.5206,-82.7142,Church Hill,Tennessee
KILGORE FLARES COMPANY LLC,6000,35.3565,-88.9542,Toone,Tennessee
"IMERYS FUSED MINERALS GREENEVILLE, INC.",5000,36.168,-82.8197,Greeneville,Tennessee
"MAGNETI MARELLI OF TENNESSEE DBA AUTOMOTIVE LIGHTING NORTH AMERICA, LLC",11400,35.1934,-87.0353,Pulaski,Tennessee
"MAGNETI MARELLI OF TENNESSEE DBA AUTOMOTIVE LIGHTING NORTH AMERICA, LLC",13000,35.1934,-87.0353,Pulaski,Tennessee
"MAGNETI MARELLI OF TENNESSEE DBA AUTOMOTIVE LIGHTING NORTH AMERICA, LLC",7500,35.1934,-87.0353,Pulaski,Tennessee
"MAGNETI MARELLI OF TENNESSEE DBA AUTOMOTIVE LIGHTING NORTH AMERICA, LLC",21000,35.1934,-87.0353,Pulaski,Tennessee
"ASSA ABLOY DOOR GROUP, LLC DBA CECO DOOR",8000,35.9126,-88.7556,Milan,Tennessee
"MAGNETI MARELLI OF TENNESSEE DBA AUTOMOTIVE LIGHTING NORTH AMERICA, LLC",21000,35.1934,-87.0353,Pulaski,Tennessee
STATE INDUSTRIES INCORPORATED,6000,36.2607,-87.0412,Ashland City,Tennessee
STATE INDUSTRIES INCORPORATED,10000,36.2607,-87.0412,Ashland City,Tennessee
"FLEX-N-GATE ROCKFORD, INC",15000,35.833,-83.9359,Rockford,Tennessee
"ALCHEM ALUMINUM SHELBYVILLE, INC.",53000,35.4987,-86.4516,Shelbyville,Tennessee
"ALCHEM ALUMINUM SHELBYVILLE, INC.",55500,35.4987,-86.4516,Shelbyville,Tennessee
THE CARLSTAR GROUP LLC,13500,36.0988,-84.1281,Clinton,Tennessee
THE CARLSTAR GROUP LLC,15000,36.0988,-84.1281,Clinton,Tennessee
NATIONAL COAL LLC,132258,36.3251,-84.2199,Caryville,Tennessee
"VALERO RENEWABLE FUELS COMPANY, LLC",5690,44.2832,-96.6854,Aurora,South Dakota
GCC DACOTAH,19635,44.0716,-103.2205,Rapid City,South Dakota
NORTHERN STATES POWER COMPANY,65874,43.5397,-96.7322,Sioux Falls,South Dakota
OTTER TAIL POWER COMPANY,13760,45.2985,-96.4657,Big Stone City,South Dakota
"VALERO RENEWABLE FUELS COMPANY, LLC",6650,44.2832,-96.6854,Aurora,South Dakota
JOHN MORRELL & COMPANY,48079,43.5397,-96.7322,Sioux Falls,South Dakota
ARGOS USA LLC FLORENCE CONCRETE PLANT,5250,34.1785,-79.7857,Florence,South Carolina
AVERY DENNISON,18000,34.9413,-81.025,Rock Hill,South Carolina
AVERY DENNISON,8000,34.9413,-81.025,Rock Hill,South Carolina
AVERY DENNISON,8000,34.9413,-81.025,Rock Hill,South Carolina
MERITOR HEAVY VEHICLE SYSTEMS,5000,34.9968,-81.2348,York,South Carolina
PHIBRO TECH,7500,33.9392,-80.393,Sumter,South Carolina
JOHNS MANVILLE SPARTANBURG PLANT,5000,34.9437,-81.9257,Spartanburg,South Carolina
IAC SPARTANBURG INC,58000,34.9437,-81.9257,Spartanburg,South Carolina
STERIS AST,22400,34.9437,-81.9257,Spartanburg,South Carolina
STERIS AST,22400,34.9437,-81.9257,Spartanburg,South Carolina
STERIS AST,22400,34.9437,-81.9257,Spartanburg,South Carolina
STERIS AST,22400,34.9437,-81.9257,Spartanburg,South Carolina
HENKEL US OPERATIONS CORPORATION,5500,34.6593,-81.9609,Enoree,South Carolina
HENKEL US OPERATIONS CORPORATION,6000,34.6593,-81.9609,Enoree,South Carolina
MICHELIN NORTH AMERICA INC - SPARTANBURG FACILITY (US3),27000,34.9437,-81.9257,Spartanburg,South Carolina
MICHELIN NORTH AMERICA INC - SPARTANBURG FACILITY (US3),16000,34.9437,-81.9257,Spartanburg,South Carolina
MICHELIN NORTH AMERICA INC - SPARTANBURG FACILITY (US3),111500,34.9437,-81.9257,Spartanburg,South Carolina
GOODYEAR SPARTANBURG,22000,34.9437,-81.9257,Spartanburg,South Carolina
AMERICAN ITALIAN PASTA COMPANY,5500,34.037,-80.9042,Columbia,South Carolina
MARS PET CARE US INC COLUMBIA,10000,34.037,-80.9042,Columbia,South Carolina
INTERNATIONAL PAPER EASTOVER MILL,5000,33.8779,-80.6949,Eastover,South Carolina
PALMETTO HEALTH BAPTIST MEDICAL CENTER,6400,34.037,-80.9042,Columbia,South Carolina
VULCAN CONSTRUCTION MATERIALS LLC DREYFUS QUARRY,8000,34.037,-80.9042,Columbia,South Carolina
SCE&G WATEREE STATION,34500,33.8779,-80.6949,Eastover,South Carolina
SCE&G WATEREE STATION,34500,33.8779,-80.6949,Eastover,South Carolina
BIMBO BAKERIES USA INC,17000,33.4928,-80.8671,Orangeburg,South Carolina
MARS PETCARE US INC,5500,33.4928,-80.8671,Orangeburg,South Carolina
HOLCIM US INC HOLLY HILL PLANT,6000,33.3245,-80.413,Holly Hill,South Carolina
SI GROUP INC ORANGEBURG,10000,33.4928,-80.8671,Orangeburg,South Carolina
SI GROUP INC ORANGEBURG,14000,33.4928,-80.8671,Orangeburg,South Carolina
CATERPILLAR INC NEWBERRY,5000,34.2822,-81.6012,Newberry,South Carolina
MARLEY ENGINEERED PRODUCTS,5000,34.6303,-79.6874,Bennettsville,South Carolina
MARLEY ENGINEERED PRODUCTS,5000,34.6303,-79.6874,Bennettsville,South Carolina
FLAKEBOARD AMERICA CAROLINA PARTICLEBOARD DBA ARAUCO NORTH AMERICA,10000,34.6303,-79.6874,Bennettsville,South Carolina
FLAKEBOARD AMERICA CAROLINA PARTICLEBOARD DBA ARAUCO NORTH AMERICA,7500,34.6303,-79.6874,Bennettsville,South Carolina
FLAKEBOARD BENNETTSVILLE MDF DBA ARAUCO NORTH AMERICA,10000,34.6303,-79.6874,Bennettsville,South Carolina
FLAKEBOARD BENNETTSVILLE MDF DBA ARAUCO NORTH AMERICA,6000,34.6303,-79.6874,Bennettsville,South Carolina
FLAKEBOARD BENNETTSVILLE MDF DBA ARAUCO NORTH AMERICA,20000,34.6303,-79.6874,Bennettsville,South Carolina
FLAKEBOARD BENNETTSVILLE MDF DBA ARAUCO NORTH AMERICA,20000,34.6303,-79.6874,Bennettsville,South Carolina
MOHAWK INDUSTRIES INC - OAK RIVER MILL,8500,34.6303,-79.6874,Bennettsville,South Carolina
MICHELIN NORTH AMERICA INC LEXINGTON US7,111500,33.9866,-81.222,Lexington,South Carolina
MICHELIN NORTH AMERICA INC - LEXINGTON (US5 & US7),29000,33.9866,-81.222,Lexington,South Carolina
MICHELIN NORTH AMERICA INC - LEXINGTON (US5 & US7),111500,33.9866,-81.222,Lexington,South Carolina
MICHELIN NORTH AMERICA INC - LEXINGTON (US5 & US7),111500,33.9866,-81.222,Lexington,South Carolina
LEE COUNTY LANDFILL SC LLC,5000,34.2202,-80.2483,Bishopville,South Carolina
SHAW INDUSTRIES GROUP INC - PLANT H5,9625,34.4774,-81.864,Clinton,South Carolina
NORBORD SOUTH CAROLINA INC,76500,34.3804,-81.7773,Kinards,South Carolina
NORBORD SOUTH CAROLINA INC,14000,34.3804,-81.7773,Kinards,South Carolina
NORBORD SOUTH CAROLINA INC,76500,34.3804,-81.7773,Kinards,South Carolina
NORBORD SOUTH CAROLINA INC,20800,34.3804,-81.7773,Kinards,South Carolina
NORBORD SOUTH CAROLINA INC,20800,34.3804,-81.7773,Kinards,South Carolina
NORBORD SOUTH CAROLINA INC,20800,34.3804,-81.7773,Kinards,South Carolina
ARCHER DANIELS MIDLAND CO,136000,34.5443,-80.5866,Kershaw,South Carolina
INVISTA SARL,6000,34.2216,-80.6849,Lugoff,South Carolina
INVISTA SARL,6000,34.2216,-80.6849,Lugoff,South Carolina
FUJIFILM MANUFACTURING USA INC PLANT L,5000,34.1944,-82.1543,Greenwood,South Carolina
FUJIFILM MANF USA INC PLANTS X G DC N M & SITEWIDE,5000,34.1944,-82.1543,Greenwood,South Carolina
FUJIFILM MANUFACTURING USA INC,5000,34.1944,-82.1543,Greenwood,South Carolina
FUJIFILM MANUFACTURING USA INC F PLANT,5000,34.1944,-82.1543,Greenwood,South Carolina
FUJIFILM MANUFACTURING USA INC,5000,34.1944,-82.1543,Greenwood,South Carolina
FUJIFILM MANUFACTURING USA INC,6000,34.1944,-82.1543,Greenwood,South Carolina
CATERPILLAR INC,25000,34.6991,-82.1994,Fountain Inn,South Carolina
SAINT GOBAIN ABRASIVE INC,13125,34.9684,-82.4417,Travelers Rest,South Carolina
SAINT GOBAIN ABRASIVE INC,13125,34.9684,-82.4417,Travelers Rest,South Carolina
SAINT GOBAIN ABRASIVE INC,13125,34.9684,-82.4417,Travelers Rest,South Carolina
SAINT GOBAIN ABRASIVE INC,13125,34.9684,-82.4417,Travelers Rest,South Carolina
SAINT GOBAIN ABRASIVE INC,13125,34.9684,-82.4417,Travelers Rest,South Carolina
LOCKHEED MARTIN AERONAUTICS COMPANY,84647,34.8363,-82.365,Greenville,South Carolina
GE (GREENVILLE) GAS TURBINES LLC,9000,34.8363,-82.365,Greenville,South Carolina
MITSUBISHI POLYESTER FILM INC,8000,34.9346,-82.2333,Greer,South Carolina
JOHNSON CONTROLS BATTERY GROUP INC,250000,34.1785,-79.7857,Florence,South Carolina
JOHNSON CONTROLS BATTERY GROUP INC,7500,34.1785,-79.7857,Florence,South Carolina
KOPPERS INC,5000,34.1785,-79.7857,Florence,South Carolina
WESTROCK CP LLC,36000,34.1785,-79.7857,Florence,South Carolina
WESTROCK CP LLC,7000,34.1785,-79.7857,Florence,South Carolina
WESTROCK CP LLC,20000,34.1785,-79.7857,Florence,South Carolina
WESTROCK CP LLC,7000,34.1785,-79.7857,Florence,South Carolina
SHOWA DENKO CARBON INC,5000,33.09,-80.3071,Ridgeville,South Carolina
ROBERT BOSCH LLC,14000,32.8137,-79.9643,Charleston,South Carolina
ROBERT BOSCH LLC,16000,32.8137,-79.9643,Charleston,South Carolina
ROBERT BOSCH LLC,16000,32.8137,-79.9643,Charleston,South Carolina
ROBERT BOSCH LLC,16000,32.8137,-79.9643,Charleston,South Carolina
ROBERT BOSCH LLC,16000,32.8137,-79.9643,Charleston,South Carolina
ROBERT BOSCH LLC,16000,32.8137,-79.9643,Charleston,South Carolina
ROBERT BOSCH LLC,16000,32.8137,-79.9643,Charleston,South Carolina
ARGOS CEMENT LLC HARLEYVILLE CEMENT PLANT,14000,33.2126,-80.4477,Harleyville,South Carolina
ARGOS CEMENT LLC HARLEYVILLE CEMENT PLANT,13000,33.2126,-80.4477,Harleyville,South Carolina
ARGOS CEMENT LLC HARLEYVILLE CEMENT PLANT,13000,33.2126,-80.4477,Harleyville,South Carolina
ARGOS CEMENT LLC HARLEYVILLE CEMENT PLANT,6000,33.2126,-80.4477,Harleyville,South Carolina
ARGOS CEMENT LLC HARLEYVILLE CEMENT PLANT,106000,33.2126,-80.4477,Harleyville,South Carolina
ARGOS CEMENT LLC HARLEYVILLE CEMENT PLANT,24000,33.2126,-80.4477,Harleyville,South Carolina
GIANT CEMENT COMPANY,10000,33.2126,-80.4477,Harleyville,South Carolina
ARGOS CEMENT LLC HARLEYVILLE CEMENT PLANT,90000,33.2126,-80.4477,Harleyville,South Carolina
GIANT CEMENT COMPANY,5600,33.2126,-80.4477,Harleyville,South Carolina
GIANT CEMENT COMPANY,34000,33.2126,-80.4477,Harleyville,South Carolina
GIANT CEMENT COMPANY,36500,33.2126,-80.4477,Harleyville,South Carolina
GIANT CEMENT COMPANY,10000,33.2126,-80.4477,Harleyville,South Carolina
GIANT CEMENT COMPANY,13500,33.2126,-80.4477,Harleyville,South Carolina
GIANT CEMENT COMPANY,10000,33.2126,-80.4477,Harleyville,South Carolina
GIANT CEMENT COMPANY,10000,33.2126,-80.4477,Harleyville,South Carolina
GIANT CEMENT COMPANY,9000,33.2126,-80.4477,Harleyville,South Carolina
SONOCO PRODUCTS COMPANY,8000,34.3679,-80.0829,Hartsville,South Carolina
GEORGIA-PACIFIC WOOD PRODUCTS LLC,200000,33.7547,-80.2221,Alcolu,South Carolina
FEDERAL MOGUL CORPORATION,8000,33.6013,-80.3527,Summerton,South Carolina
PPG INDUSTRIES FIBER GLASS PRODUCTS INC,9000,34.705,-81.2132,Chester,South Carolina
GUARDIAN INDUSTRIES LLC,6500,34.7167,-81.0197,Richburg,South Carolina
GUARDIAN INDUSTRIES LLC,5000,34.7167,-81.0197,Richburg,South Carolina
BOISE CASCADE WOOD PRODUCTS LLC,16000,34.705,-81.2132,Chester,South Carolina
BOISE CASCADE WOOD PRODUCTS LLC,25000,34.705,-81.2132,Chester,South Carolina
BOISE CASCADE WOOD PRODUCTS LLC,75000,34.705,-81.2132,Chester,South Carolina
BOISE CASCADE WOOD PRODUCTS LLC,37500,34.705,-81.2132,Chester,South Carolina
BOISE CASCADE WOOD PRODUCTS LLC,6000,34.705,-81.2132,Chester,South Carolina
BOISE CASCADE WOOD PRODUCTS LLC,10000,34.705,-81.2132,Chester,South Carolina
GAF MATERIALS CORPORATION,12000,34.705,-81.2132,Chester,South Carolina
BOISE CASCADE WOOD PRODUCTS LLC,9000,34.705,-81.2132,Chester,South Carolina
CORE MOLDING TECHNOLOGIES INC,9500,35.0742,-81.6558,Gaffney,South Carolina
CORE MOLDING TECHNOLOGIES INC,5000,35.0742,-81.6558,Gaffney,South Carolina
FREIGHTLINER CUSTOM CHASSIS CORPORATION,15000,35.0742,-81.6558,Gaffney,South Carolina
FREIGHTLINER CUSTOM CHASSIS CORPORATION,15000,35.0742,-81.6558,Gaffney,South Carolina
MILLIKEN & COMPANY - LIMESTONE PLANT,6000,35.0742,-81.6558,Gaffney,South Carolina
HANSON BRICK EAST LLC,8000,35.1221,-81.5182,Blacksburg,South Carolina
SALISBURY ELECTRICAL SAFETY LLC,8000,32.8137,-79.9643,Charleston,South Carolina
KINDER MORGAN CHARLESTON TERMINAL,19000,32.8137,-79.9643,Charleston,South Carolina
LANXESS CORPORATION,9500,32.8137,-79.9643,Charleston,South Carolina
EASTMAN CHEMICAL COMPANY SC OPERATIONS,6400,33.818,-81.0997,Gaston,South Carolina
DAK AMERICAS LLC COLUMBIA SITE,6500,33.818,-81.0997,Gaston,South Carolina
SUN CHEMICAL CORP,7000,32.9922,-80.0052,Goose Creek,South Carolina
SUN CHEMICAL CORP,6500,32.9922,-80.0052,Goose Creek,South Carolina
SUN CHEMICAL CORP,7000,32.9922,-80.0052,Goose Creek,South Carolina
SUN CHEMICAL CORP,6500,32.9922,-80.0052,Goose Creek,South Carolina
DAK AMERICAS LLC,7000,33.1715,-80.0122,Moncks Corner,South Carolina
DAK AMERICAS LLC,15000,33.1715,-80.0122,Moncks Corner,South Carolina
CENTURY ALUMINUM OF SOUTH CAROLINA INC,11000,32.9922,-80.0052,Goose Creek,South Carolina
CENTURY ALUMINUM OF SOUTH CAROLINA INC,5600,32.9922,-80.0052,Goose Creek,South Carolina
CENTURY ALUMINUM OF SOUTH CAROLINA INC,11000,32.9922,-80.0052,Goose Creek,South Carolina
GEORGIA PACIFIC WOOD PRODUCTS LLC RUSSEVILLE PLYWOOD PLT,5500,33.397,-79.9637,Russellville,South Carolina
MICHELIN NORTH AMERICA INC SANDY SPRINGS US2,111500,34.5954,-82.7499,Sandy Springs,South Carolina
MILLIKEN & COMPANY PENDLETON PLANT,6800,34.6453,-82.7822,Pendleton,South Carolina
DUKE ENERGY CAROLINAS LLC W S LEE STEAM STATION,6000,34.5238,-82.4937,Belton,South Carolina
DUKE ENERGY CAROLINAS LLC W S LEE STEAM STATION,6000,34.5238,-82.4937,Belton,South Carolina
GEORGIA-PACIFIC WOOD PRODUCTS LLC,600000,32.9593,-81.2363,Fairfax,South Carolina
GEORGIA-PACIFIC WOOD PRODUCTS LLC,38000,32.9593,-81.2363,Fairfax,South Carolina
AMERESCO FEDERAL SOLUTIONS,12000,33.5303,-81.727,Aiken,South Carolina
AMERESCO FEDERAL SOLUTIONS,12000,33.5303,-81.727,Aiken,South Carolina
OWENS CORNING NON-WOVEN TECHNOLOGY LLC,10000,33.5303,-81.727,Aiken,South Carolina
OWENS CORNING NON-WOVEN TECHNOLOGY LLC,5000,33.5303,-81.727,Aiken,South Carolina
MOHAWK INDUSTRIES INC ROCKY RIVER PLT,24000,34.0933,-82.5963,Calhoun Falls,South Carolina
KINDER MORGAN SOUTHEAST TERMINALS BELTON 1,14000,34.5238,-82.4937,Belton,South Carolina
TEXTRON/GREER GRDWTR TTMT SYS,6400,34.9346,-82.2333,Greer,South Carolina
KOPPERS INC,15400,34.1785,-79.7857,Florence,South Carolina
HANSON AGGR SE/SANDY FLATS,8000,34.9157,-82.3124,Taylors,South Carolina
AVX CORP/MYRTLE BEACH PLANT,12600,33.7096,-78.8843,Myrtle Beach,South Carolina
HANSON AGGR SE/ANDERSON,5600,34.5212,-82.6479,Anderson,South Carolina
C R BARD INC,14000,33.1715,-80.0122,Moncks Corner,South Carolina
SCE&G/MCMEEKIN STEAM STATION,14000,33.9866,-81.222,Lexington,South Carolina
CELANESE LTD/ENOREE PLANT,39000,34.6593,-81.9609,Enoree,South Carolina
SOUTHERN RESOURCES/BAUKNIGHT MINE,5400,34.0009,-81.7713,Saluda,South Carolina
SHAW INDUSTRIES GROUP/CLEMSON,12600,34.7234,-82.7789,Central,South Carolina
SHAW INDUSTRIES GROUP/CLEMSON,12600,34.7234,-82.7789,Central,South Carolina
HANSON BRICK/COLUMBIA,6000,34.037,-80.9042,Columbia,South Carolina
MOHAWK IND/OAK RIVER PLANT,10200,34.6303,-79.6874,Bennettsville,South Carolina
KOPPERS INC,13600,34.1785,-79.7857,Florence,South Carolina
C R BARD INC,7200,33.1715,-80.0122,Moncks Corner,South Carolina
SCE&G/MCMEEKIN STEAM STATION,30000,33.9866,-81.222,Lexington,South Carolina
DOMTAR PAPER CO LLC/MARLBORO M,6000,34.6303,-79.6874,Bennettsville,South Carolina
GIANT CEMENT COMPANY INC,6000,33.2126,-80.4477,Harleyville,South Carolina
AVX CORP/MYRTLE BEACH PLANT,8000,33.7096,-78.8843,Myrtle Beach,South Carolina
Ferro Corporation,1050000,41.617,-87.4908,Hammond,Indiana
"ASPEN AEROGELS, INC.",5500,41.8063,-71.3565,East Providence,Rhode Island
SCHNEIDER ELECTRIC IT CORPORATION,24414,41.4832,-71.5514,West Kingston,Rhode Island
"ASPEN AEROGELS, INC.",7500,41.8063,-71.3565,East Providence,Rhode Island
"COPAR QUARRIES OF WESTERLY, LLC",9500,41.3944,-71.7541,Bradford,Rhode Island
"SYNAGRO WOONSOCKET, LLC",175000,42.001,-71.4993,Woonsocket,Rhode Island
ABBVIE LTD,100000,18.4529,-66.5381,Barceloneta,Puerto Rico
"ALLIED WASTE OF PONCE, INC",12000,18.012,-66.6198,Ponce,Puerto Rico
"ALLIED WASTE OF PONCE, INC",6000,18.012,-66.6198,Ponce,Puerto Rico
"ALLIED WASTE OF PONCE, INC",12000,18.012,-66.6198,Ponce,Puerto Rico
"ALLIED WASTE OF PONCE, INC",20000,18.012,-66.6198,Ponce,Puerto Rico
ABBVIE LTD,30000,18.4529,-66.5381,Barceloneta,Puerto Rico
MIPC LLC/ PHILA,6050,40.0076,-75.134,Philadelphia,Pennsylvania
XO COMMUNICATIONS,5900,40.0076,-75.134,Philadelphia,Pennsylvania
AT&T CORPORATION,50000,40.0076,-75.134,Philadelphia,Pennsylvania
PBF LOGISTICS PRODUCTS TERMINAL/67TH ST,5300,40.0076,-75.134,Philadelphia,Pennsylvania
USS/CLAIRTON WORKS,69300,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,60600,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,1091960,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,392100,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,45400,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,5500,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,90000,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,93900,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,199300,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,122775,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,52300,40.2976,-79.8853,Clairton,Pennsylvania
ALLEGHENY LUDLUM LLC/BRACKENRIDGE,50000,40.6079,-79.7411,Brackenridge,Pennsylvania
USS/CLAIRTON WORKS,227875,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,253425,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,34000,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,259700,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,144800,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,7125,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,25000,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,174000,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,12275,40.2976,-79.8853,Clairton,Pennsylvania
GUARDIAN IND CORP/JEFFERSON HILLS,165200,39.8156,-76.841,Jefferson,Pennsylvania
USS/CLAIRTON WORKS,132500,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,91500,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,118000,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,90500,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,173500,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,5500,40.2976,-79.8853,Clairton,Pennsylvania
GUARDIAN IND CORP/JEFFERSON HILLS,25000,39.8156,-76.841,Jefferson,Pennsylvania
USS/CLAIRTON WORKS,17650,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,300000,40.2976,-79.8853,Clairton,Pennsylvania
HARSCO METALS BRI LLC/BRADDOCK,10200,40.4018,-79.8688,Braddock,Pennsylvania
GUARDIAN IND CORP/JEFFERSON HILLS,781805,39.8156,-76.841,Jefferson,Pennsylvania
ALLIED WASTE SVC OF PA/MSW LDFL,225000,40.4537,-80.2499,Imperial,Pennsylvania
HARSCO METALS/HARRISON,92450,40.6234,-79.7298,Natrona Heights,Pennsylvania
ALLEGHENY LUDLUM LLC/BRACKENRIDGE,16800,40.6079,-79.7411,Brackenridge,Pennsylvania
ALLEGHENY LUDLUM LLC/BRACKENRIDGE,289725,40.6079,-79.7411,Brackenridge,Pennsylvania
USS/CLAIRTON WORKS,5475,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,6300,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,61725,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,301800,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,20975,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,395900,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,15250,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,29300,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,11950,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,16200,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,10675,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,11150,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,31050,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,6750,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,7400,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,8550,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,6475,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,8000,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,5750,40.2976,-79.8853,Clairton,Pennsylvania
USS/CLAIRTON WORKS,13400,40.2976,-79.8853,Clairton,Pennsylvania
CALGON CARBON CORP/NEVILLE ISLAND PLT,9550,40.4396,-79.9763,Pittsburgh,Pennsylvania
CALGON CARBON CORP/NEVILLE ISLAND PLT,11075,40.4396,-79.9763,Pittsburgh,Pennsylvania
CALGON CARBON CORP/NEVILLE ISLAND PLT,5350,40.4396,-79.9763,Pittsburgh,Pennsylvania
LEHIGH CEMENT CO LLC/EVANSVILLE CEMENT PLT & QUARRY,15386,40.4565,-75.8211,Fleetwood,Pennsylvania
SPS TECH INC/ABINGTON,5490,40.0962,-75.1297,Jenkintown,Pennsylvania
SPS TECH INC/ABINGTON,5490,40.0962,-75.1297,Jenkintown,Pennsylvania
ARDAGH GLASS INC/PORT ALLEGANY PLT,54029,41.8149,-78.2768,Port Allegany,Pennsylvania
CLEMENS FOOD GROUP/HATFIELD PLT,8040,40.2771,-75.2988,Hatfield,Pennsylvania
UNITED REFINING CO/WARREN PLT,469501,41.8433,-79.1445,Warren,Pennsylvania
COVANTA PLYMOUTH RENEWABLE ENERGY/ PLYMOUTH,27883,40.0772,-75.3035,Conshohocken,Pennsylvania
HUNTSMAN/EASTON,25920,40.6858,-75.2209,Easton,Pennsylvania
COVANTA PLYMOUTH RENEWABLE ENERGY/ PLYMOUTH,10607,40.0772,-75.3035,Conshohocken,Pennsylvania
ERIE COKE CORP/ERIE PLT,14325,42.1168,-80.0733,Erie,Pennsylvania
WHEATLAND TUBE CO DI/WHEATLAND TUBE DIV,14375,41.1971,-80.4957,Wheatland,Pennsylvania
VITRO FLAT GLASS/MEADVILLE,202442,41.6476,-80.1467,Meadville,Pennsylvania
Fisher Sand and Gravel,150000,33.5722,-112.0891,Phoenix,Arizona
PIXELLE SPEC SOLUTIONS LLC/SPRING GROVE,20534,39.8809,-76.8641,Spring Grove,Pennsylvania
ADM ANIMAL NUTRITION/CAMP HILL,13718,40.2422,-76.9274,Camp Hill,Pennsylvania
