company,penalty,lat,lon,city,industry,state
EXXON MOBIL CHEMICAL BAYTOWN OLEFINS PLANT,40000,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL CHEMICAL BAYTOWN OLEFINS PLANT,30000,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL CHEMICAL BAYTOWN OLEFINS PLANT,7800,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL CHEMICAL BAYTOWN OLEFINS PLANT,18725,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL CHEMICAL BAYTOWN OLEFINS PLANT,165400,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL CHEMICAL BAYTOWN OLEFINS PLANT,30400,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL CHEMICAL BAYTOWN OLEFINS PLANT,7384,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL CHEMICAL BAYTOWN OLEFINS PLANT,44575,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL CHEMICAL BAYTOWN OLEFINS PLANT,10807,29.7607,-94.9628,Baytown,oil & gas,Texas
AIR PRODUCTS PASADENA PLANT,7930,29.6584,-95.1499,Pasadena,chemicals,Texas
AIR PRODUCTS PASADENA PLANT,7930,29.6584,-95.1499,Pasadena,chemicals,Texas
AIR PRODUCTS PASADENA PLANT,7930,29.6584,-95.1499,Pasadena,chemicals,Texas
ARKEMA HOUSTON PLANT,10000,29.7868,-95.3905,Houston,chemicals,Texas
ARKEMA HOUSTON PLANT,10000,29.7868,-95.3905,Houston,chemicals,Texas
ARKEMA CROSBY PLANT,39875,29.9146,-95.0591,Crosby,chemicals,Texas
GOODYEAR HOUSTON CHEMICAL PLANT,11856,29.7868,-95.3905,Houston,automotive parts-tires,Texas
GOODYEAR HOUSTON CHEMICAL PLANT,204603,29.7868,-95.3905,Houston,automotive parts-tires,Texas
EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,182978,29.7914,-95.1145,Channelview,chemicals,Texas
EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,14250,29.7914,-95.1145,Channelview,chemicals,Texas
EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,111855,29.7914,-95.1145,Channelview,chemicals,Texas
EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,64000,29.7914,-95.1145,Channelview,chemicals,Texas
EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,10571,29.7914,-95.1145,Channelview,chemicals,Texas
EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,10000,29.7914,-95.1145,Channelview,chemicals,Texas
EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,64000,29.7914,-95.1145,Channelview,chemicals,Texas
EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,111855,29.7914,-95.1145,Channelview,chemicals,Texas
EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,29252,29.7914,-95.1145,Channelview,chemicals,Texas
EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,13240,29.7914,-95.1145,Channelview,chemicals,Texas
EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,228720,29.7914,-95.1145,Channelview,chemicals,Texas
EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,20000,29.7914,-95.1145,Channelview,chemicals,Texas
EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,8425,29.7914,-95.1145,Channelview,chemicals,Texas
EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,5000,29.7914,-95.1145,Channelview,chemicals,Texas
EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,6000,29.7914,-95.1145,Channelview,chemicals,Texas
EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,67500,29.7914,-95.1145,Channelview,chemicals,Texas
AIR LIQUIDE LARGE INDUSTRIES US,82455,29.6584,-95.1499,Pasadena,industrial gas,Texas
VALERO HOUSTON REFINERY,7500,29.7868,-95.3905,Houston,oil & gas,Texas
VALERO HOUSTON REFINERY,48715,29.7868,-95.3905,Houston,oil & gas,Texas
VALERO HOUSTON REFINERY,26880,29.7868,-95.3905,Houston,oil & gas,Texas
VALERO HOUSTON REFINERY,75600,29.7868,-95.3905,Houston,oil & gas,Texas
VALERO HOUSTON REFINERY,50000,29.7868,-95.3905,Houston,oil & gas,Texas
VALERO HOUSTON REFINERY,26880,29.7868,-95.3905,Houston,oil & gas,Texas
VALERO HOUSTON REFINERY,48715,29.7868,-95.3905,Houston,oil & gas,Texas
VALERO HOUSTON REFINERY,10439,29.7868,-95.3905,Houston,oil & gas,Texas
VALERO HOUSTON REFINERY,19800,29.7868,-95.3905,Houston,oil & gas,Texas
VALERO HOUSTON REFINERY,10270,29.7868,-95.3905,Houston,oil & gas,Texas
VALERO HOUSTON REFINERY,75600,29.7868,-95.3905,Houston,oil & gas,Texas
VALERO HOUSTON REFINERY,46150,29.7868,-95.3905,Houston,oil & gas,Texas
VALERO HOUSTON REFINERY,38000,29.7868,-95.3905,Houston,oil & gas,Texas
VALERO HOUSTON REFINERY,700000,29.7868,-95.3905,Houston,oil & gas,Texas
VALERO HOUSTON REFINERY,1833333,29.7868,-95.3905,Houston,oil & gas,Texas
VALERO HOUSTON REFINERY,8750,29.7868,-95.3905,Houston,oil & gas,Texas
ENRON METHANOL COMPANY,20325,29.6584,-95.1499,Pasadena,power systems,Texas
DOW CHEMICAL LA PORTE SITE,31960,29.669,-95.0483,La Porte,chemicals,Texas
DOW CHEMICAL LA PORTE SITE,12535,29.669,-95.0483,La Porte,chemicals,Texas
ECO SERVICES OPERATIONS,23025,29.7607,-94.9628,Baytown,chemicals,Texas
ECO SERVICES OPERATIONS,7564,29.7607,-94.9628,Baytown,chemicals,Texas
ECO SERVICES OPERATIONS,6007,29.7868,-95.3905,Houston,chemicals,Texas
ROHM AND HAAS TEXAS DEER PARK PLANT,124405,29.6898,-95.1151,Deer Park,chemicals,Texas
ECO SERVICES OPERATIONS,88200,29.7868,-95.3905,Houston,chemicals,Texas
ROHM AND HAAS TEXAS DEER PARK PLANT,81000,29.6898,-95.1151,Deer Park,chemicals,Texas
ROHM AND HAAS TEXAS DEER PARK PLANT,59700,29.6898,-95.1151,Deer Park,chemicals,Texas
ROHM AND HAAS TEXAS DEER PARK PLANT,81400,29.6898,-95.1151,Deer Park,chemicals,Texas
ROHM AND HAAS TEXAS DEER PARK PLANT,85500,29.6898,-95.1151,Deer Park,chemicals,Texas
ROHM AND HAAS TEXAS DEER PARK PLANT,19500,29.6898,-95.1151,Deer Park,chemicals,Texas
ROHM AND HAAS TEXAS DEER PARK PLANT,109719,29.6898,-95.1151,Deer Park,chemicals,Texas
EXXON MOBIL BAYTOWN REFINERY,47600,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL BAYTOWN REFINERY,111750,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL BAYTOWN REFINERY,80000,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL BAYTOWN REFINERY,40000,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL BAYTOWN REFINERY,165400,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL BAYTOWN REFINERY,40000,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL BAYTOWN REFINERY,47600,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL BAYTOWN REFINERY,20695,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL BAYTOWN REFINERY,30000,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL BAYTOWN REFINERY,65300,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL BAYTOWN REFINERY,13775,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL BAYTOWN REFINERY,70400,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL BAYTOWN REFINERY,10000,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL BAYTOWN REFINERY,20000,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL BAYTOWN REFINERY,10469,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL BAYTOWN REFINERY,65700,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL BAYTOWN REFINERY,6675,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL BAYTOWN REFINERY,28900,29.7607,-94.9628,Baytown,oil & gas,Texas
EXXON MOBIL BAYTOWN REFINERY,47185,29.7607,-94.9628,Baytown,oil & gas,Texas
CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,25000,29.7607,-94.9628,Baytown,chemicals,Texas
CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,30000,29.7607,-94.9628,Baytown,chemicals,Texas
CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,25000,29.7607,-94.9628,Baytown,chemicals,Texas
CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,30000,29.7607,-94.9628,Baytown,chemicals,Texas
CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,527900,29.7607,-94.9628,Baytown,chemicals,Texas
CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,527900,29.7607,-94.9628,Baytown,chemicals,Texas
CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,23624,29.7607,-94.9628,Baytown,chemicals,Texas
CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,30000,29.7607,-94.9628,Baytown,chemicals,Texas
CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,8500,29.7607,-94.9628,Baytown,chemicals,Texas
CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,15850,29.7607,-94.9628,Baytown,chemicals,Texas
CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,16950,29.7607,-94.9628,Baytown,chemicals,Texas
CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,20200,29.7607,-94.9628,Baytown,chemicals,Texas
CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,47442,29.7607,-94.9628,Baytown,chemicals,Texas
CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,60283,29.7607,-94.9628,Baytown,chemicals,Texas
CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,19800,29.7607,-94.9628,Baytown,chemicals,Texas
CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,8500,29.7607,-94.9628,Baytown,chemicals,Texas
ALBEMARLE HOUSTON PLANT,12690,29.6584,-95.1499,Pasadena,chemicals,Texas
ALBEMARLE HOUSTON PLANT,12690,29.6584,-95.1499,Pasadena,chemicals,Texas
ALBEMARLE HOUSTON PLANT,10000,29.6584,-95.1499,Pasadena,chemicals,Texas
PASADENA REFINING SYSTEM,279125,29.6584,-95.1499,Pasadena,petroleum,Texas
PASADENA REFINING SYSTEM,7087,29.6584,-95.1499,Pasadena,petroleum,Texas
PASADENA REFINING SYSTEM,279125,29.6584,-95.1499,Pasadena,petroleum,Texas
PASADENA REFINING SYSTEM,279125,29.6584,-95.1499,Pasadena,petroleum,Texas
PASADENA REFINING SYSTEM,33144,29.6584,-95.1499,Pasadena,petroleum,Texas
PASADENA REFINING SYSTEM,10000,29.6584,-95.1499,Pasadena,petroleum,Texas
PASADENA REFINING SYSTEM,33144,29.6584,-95.1499,Pasadena,petroleum,Texas
PASADENA REFINING SYSTEM,20438,29.6584,-95.1499,Pasadena,petroleum,Texas
PASADENA REFINING SYSTEM,14364,29.6584,-95.1499,Pasadena,petroleum,Texas
PASADENA REFINING SYSTEM,350000,29.6584,-95.1499,Pasadena,petroleum,Texas
DCP MIDSTREAM SHERHAN PLANT,25000,36.2562,-101.4122,Gruver,oil & gas,Texas
DCP MIDSTREAM SHERHAN PLANT,10179,36.2562,-101.4122,Gruver,oil & gas,Texas
DCP MIDSTREAM SHERHAN PLANT,7600,36.2562,-101.4122,Gruver,oil & gas,Texas
DCP MIDSTREAM SHERHAN PLANT,18500,36.2562,-101.4122,Gruver,oil & gas,Texas
DCP MIDSTREAM SHERHAN PLANT,41440,36.2562,-101.4122,Gruver,oil & gas,Texas
CARGILL MEAT SOLUTIONS PLAINVIEW,6100,34.1909,-101.7234,Plainview,agribusiness,Texas
CATERPILLAR SEGUIN ENGINE CENTER,7701,29.5894,-97.9659,Seguin,construction equipment,Texas
SMI TEXAS,94887,29.5894,-97.9659,Seguin,metals,Texas
SMI TEXAS,15000,29.5894,-97.9659,Seguin,metals,Texas
FLEETWOOD TRAVEL TRAILERS OF TEXAS,10250,32.5192,-94.7622,Longview,private equity (including portfolio companies),Texas
CABOT PAMPA PLANT,76200,35.5479,-100.965,Pampa,chemicals,Texas
CABOT PAMPA PLANT,6100,35.5479,-100.965,Pampa,chemicals,Texas
CABOT PAMPA PLANT,6100,35.5479,-100.965,Pampa,chemicals,Texas
PRAXAIR TEXAS CITY HYDROGEN COMPLEX,5202,29.4128,-94.9658,Texas City,industrial gas,Texas
PRAXAIR TEXAS CITY,20700,29.4128,-94.9658,Texas City,industrial gas,Texas
BLANCHARD REFINING GALVESTON BAY REFINERY,115347,29.4128,-94.9658,Texas City,oil & gas,Texas
BLANCHARD REFINING GALVESTON BAY REFINERY,30696,29.4128,-94.9658,Texas City,oil & gas,Texas
BLANCHARD REFINING GALVESTON BAY REFINERY,22500,29.4128,-94.9658,Texas City,oil & gas,Texas
BLANCHARD REFINING GALVESTON BAY REFINERY,10000,29.4128,-94.9658,Texas City,oil & gas,Texas
ISP TECHNOLOGIES TEXAS CITY PLANT,13520,29.4128,-94.9658,Texas City,chemicals,Texas
ISP TECHNOLOGIES TEXAS CITY PLANT,14000,29.4128,-94.9658,Texas City,chemicals,Texas
ISP TECHNOLOGIES TEXAS CITY PLANT,14000,29.4128,-94.9658,Texas City,chemicals,Texas
ISP TECHNOLOGIES TEXAS CITY PLANT,13520,29.4128,-94.9658,Texas City,chemicals,Texas
ISP TECHNOLOGIES TEXAS CITY PLANT,5350,29.4128,-94.9658,Texas City,chemicals,Texas
SEMINOLE GAS PROCESSING PLANT,134750,32.7215,-102.6504,Seminole,oil & gas,Texas
CROWN CORK & SEAL USA,7920,29.5965,-95.6293,Sugar Land,packaging,Texas
DAL TILE INTERNATIONAL,7350,31.8479,-106.4309,El Paso,home furnishings,Texas
HOLCIM TEXAS,223125,32.4719,-96.9877,Midlothian,building materials,Texas
ENNIS PLANT,5000,32.3258,-96.6374,Ennis,private equity (including portfolio companies),Texas
HOLCIM TEXAS,7500,32.4719,-96.9877,Midlothian,building materials,Texas
OWENS CORNING INSULATING SYSTEMS WAXAHACHIE PLANT,16576,32.4036,-96.8428,Waxahachie,building materials,Texas
OWENS CORNING INSULATING SYSTEMS WAXAHACHIE PLANT,16576,32.4036,-96.8428,Waxahachie,building materials,Texas
OWENS CORNING INSULATING SYSTEMS WAXAHACHIE PLANT,6000,32.4036,-96.8428,Waxahachie,building materials,Texas
ASH GROVE CEMENT,10975,32.4719,-96.9877,Midlothian,building materials,Texas
OWENS CORNING INSULATING SYSTEMS WAXAHACHIE PLANT,25000,32.4036,-96.8428,Waxahachie,building materials,Texas
ASH GROVE CEMENT,5725,32.4719,-96.9877,Midlothian,building materials,Texas
ASH GROVE CEMENT,16725,32.4719,-96.9877,Midlothian,building materials,Texas
GOLDSMITH GAS PLANT,42014,31.9832,-102.6163,Goldsmith,oil & gas,Texas
GOLDSMITH GAS PLANT,42014,31.9832,-102.6163,Goldsmith,oil & gas,Texas
GOLDSMITH GAS PLANT,39375,31.9832,-102.6163,Goldsmith,oil & gas,Texas
GOLDSMITH GAS PLANT,39375,31.9832,-102.6163,Goldsmith,oil & gas,Texas
GOLDSMITH GAS PLANT,755251,31.9832,-102.6163,Goldsmith,oil & gas,Texas
GOLDSMITH GAS PLANT,755251,31.9832,-102.6163,Goldsmith,oil & gas,Texas
GOLDSMITH GAS PLANT,23875,31.9832,-102.6163,Goldsmith,oil & gas,Texas
GOLDSMITH GAS PLANT,10000,31.9832,-102.6163,Goldsmith,oil & gas,Texas
GOLDSMITH GAS PLANT,7950,31.9832,-102.6163,Goldsmith,oil & gas,Texas
GOLDSMITH GAS PLANT,42014,31.9832,-102.6163,Goldsmith,oil & gas,Texas
DYNEGY MIDSTREAM DENTON COMPRESSOR STATION,34900,33.2176,-97.1421,Denton,power systems,Texas
QUAD GRAPHICS COMMERCIAL & SPECIALTY,8925,32.7937,-96.7662,Dallas,printing,Texas
DAL-TILE SUNNYVALE MANUFACTURING PLANT,5025,32.7974,-96.5577,Sunnyvale,home furnishings,Texas
QUAD GRAPHICS COMMERCIAL & SPECIALTY,10000,32.7937,-96.7662,Dallas,printing,Texas
DAL-TILE SUNNYVALE MANUFACTURING PLANT,16350,32.7974,-96.5577,Sunnyvale,home furnishings,Texas
DAL-TILE SUNNYVALE MANUFACTURING PLANT,136010,32.7974,-96.5577,Sunnyvale,home furnishings,Texas
DAL-TILE SUNNYVALE MANUFACTURING PLANT,16350,32.7974,-96.5577,Sunnyvale,home furnishings,Texas
QUEBECOR PRINTING DALLAS,7700,32.7937,-96.7662,Dallas,printing,Texas
GAF MATERIALS,50925,32.7937,-96.7662,Dallas,building materials,Texas
OWENS CORNING ROOFING AND ASPHALT IRVING FACILITY,14027,32.8584,-96.9702,Irving,building materials,Texas
DAL-TILE DALLAS MANUFACTURING,30000,32.7937,-96.7662,Dallas,home furnishings,Texas
BELVAN MIDWAY LANE GAS PLANT,40230,30.7074,-101.2059,Ozona,energy distribution,Texas
BELVAN MIDWAY LANE GAS PLANT,7650,30.7074,-101.2059,Ozona,energy distribution,Texas
BELVAN MIDWAY LANE GAS PLANT,40230,30.7074,-101.2059,Ozona,energy distribution,Texas
BELVAN MIDWAY LANE GAS PLANT,119360,30.7074,-101.2059,Ozona,energy distribution,Texas
BELVAN MIDWAY LANE GAS PLANT,7650,30.7074,-101.2059,Ozona,energy distribution,Texas
BELVAN MIDWAY LANE GAS PLANT,133900,30.7074,-101.2059,Ozona,energy distribution,Texas
BELVAN MIDWAY LANE GAS PLANT,48900,30.7074,-101.2059,Ozona,energy distribution,Texas
EXIDE FRISCO BATTERY RECYCLING PLANT,9000,33.1553,-96.8218,Frisco,batteries,Texas
EXXONMOBIL CHEMICAL MONT BELVIEU PLASTICS PLANT,32600,29.8524,-94.8786,Mont Belvieu,oil & gas,Texas
ALCOA POINT COMFORT OPERATIONS,20700,28.6715,-96.5589,Point Comfort,metals,Texas
ALCOA POINT COMFORT OPERATIONS,5513,28.6715,-96.5589,Point Comfort,metals,Texas
ALCOA POINT COMFORT OPERATIONS,20700,28.6715,-96.5589,Point Comfort,metals,Texas
ALCOA POINT COMFORT OPERATIONS,6250,28.6715,-96.5589,Point Comfort,metals,Texas
ALCOA POINT COMFORT OPERATIONS,96360,28.6715,-96.5589,Point Comfort,metals,Texas
ALCOA POINT COMFORT OPERATIONS,5075,28.6715,-96.5589,Point Comfort,metals,Texas
ALCOA POINT COMFORT OPERATIONS,44426,28.6715,-96.5589,Point Comfort,metals,Texas
ALCOA POINT COMFORT OPERATIONS,15625,28.6715,-96.5589,Point Comfort,metals,Texas
ALCOA POINT COMFORT OPERATIONS,181400,28.6715,-96.5589,Point Comfort,metals,Texas
Essroc Cement Corporation,82000,40.74,-75.3132,Nazareth,building materials,Pennsylvania
ALUMAX MILL PRODUCTS TEXARKANA,11929,33.4487,-94.0815,Texarkana,industrial components,Texas
ALUMAX MILL PRODUCTS TEXARKANA,46350,33.4487,-94.0815,Texarkana,industrial components,Texas
LHOIST NORTH AMERICA CLIFTON LIME PLANT,6000,31.7822,-97.5824,Clifton,minerals,Texas
ALAMO CEMENT 1604 PLANT,87850,29.4722,-98.5247,San Antonio,building materials,Texas
LUFKIN INDUSTRIES FOUNDRY & POWER TRANSMISSION MFG FACILITIES,67500,31.3217,-94.7277,Lufkin,diversified,Texas
GEORGIA-PACIFIC DIBOLL LUMBER OPERATIONS,45087,31.1881,-94.783,Diboll,diversified,Texas
EVADALE MILL,12525,30.3369,-94.06,Evadale,packaging,Texas
COMMERCIAL METALS,1125000,31.8831,-102.3407,Odessa,metals,Texas
"TYSON FARMS, INC.",80850,31.7929,-94.1795,Center,poultry processing and meatpacking,Texas
ASG GROVE CEMENT PLANT,13425,32.4719,-96.9877,Midlothian,building materials,Texas
BATTLEGROUND CHLORALKALI PLANT,11587,29.669,-95.0483,La Porte,oil & gas,Texas
US ECOLOGY TEXAS,15200,27.7886,-97.6685,Robstown,environmental services,Texas
PORT ARTHUR REFINERY,30000,29.9457,-93.9164,Groves,oil & gas,Texas
ARKEMA HOUSTON CHEMICAL PLANT,28613,29.7868,-95.3905,Houston,chemicals,Texas
TXI BASTROP READY MIX,8151,30.1112,-97.3233,Bastrop,building materials,Texas
BP Products North America Inc.,179000000,29.4128,-94.9658,Texas City,oil & gas,Texas
BP Products North America Inc.,15000000,29.4128,-94.9658,Texas City,oil & gas,Texas
British Petroleum,50000000,29.4128,-94.9658,Texas City,oil & gas,Texas
BRASKEM AMERICA LA PORTE PLANT,9000,29.669,-95.0483,La Porte,chemicals,Texas
BIG SPRING REFINERY,45000,32.2387,-101.4802,Big Spring,oil & gas,Texas
TYLER PIPE FACILITY,28800,32.3184,-95.3065,Tyler,plumbing supplies,Texas
EVADALE MILL,216675,30.3369,-94.06,Evadale,packaging,Texas
MARKWEST JAVELINA PLANT,23550,27.7173,-97.3822,Corpus Christi,oil & gas,Texas
BAYSHORE INDUSTRIAL,12375,29.669,-95.0483,La Porte,chemicals,Texas
FRITO-LAY ROSENBERG,16775,29.544,-95.8199,Rosenberg,food products,Texas
"FIRESTONE POLYMERS, LLC",30000,30.1209,-93.7616,Orange,automotive parts-tires,Texas
PILGRIMS PRIDE CORPORATION,63987,33.1613,-94.9717,Mount Pleasant,meatpacking,Texas
TYLER PIPE FACILITY,24675,32.3184,-95.3065,Tyler,plumbing supplies,Texas
"HOUSTON REFINING, L.P.",22500,29.7868,-95.3905,Houston,chemicals,Texas
PORT ARTHUR OIL REFINERY,60775,29.8554,-93.9264,Port Arthur,oil & gas,Texas
BIG SPRING REFINERY,17830,32.2387,-101.4802,Big Spring,oil & gas,Texas
FLINT HILLS RESOURCES HOUSTON CHEMICAL,18000,29.7868,-95.3905,Houston,diversified,Texas
EVADALE MILL,7966,30.3369,-94.06,Evadale,packaging,Texas
"FIRESTONE POLYMERS, LLC",7900,30.1209,-93.7616,Orange,automotive parts-tires,Texas
STRUCTURAL METALS FACILITY,6200,29.5894,-97.9659,Seguin,metals,Texas
LANXESS CORPORATION,20824,30.0791,-93.7599,West Orange,chemicals,Texas
Exide Technologies,4720000,40.1989,-85.395,Muncie,batteries,Indiana
PILGRIMS PRIDE CORPORATION,43700,33.1613,-94.9717,Mount Pleasant,meatpacking,Texas
GLAXOSMITH KLINE,90000,35.1047,-89.9773,Memphis,pharmaceuticals,Tennessee
ARMSTRONG HARDWOOD FLOORING,12700,36.1714,-86.7844,Nashville,private equity (including portfolio companies),Tennessee
PBF LOGISTICS PRODUCTS TERMINALS LLC,5495,35.9692,-83.9495,Knoxville,oil & gas,Tennessee
"CEMEX CONSTRUCTION MATERIALS ATLANTIC, LLC",35000,35.9692,-83.9495,Knoxville,building materials,Tennessee
"CEMEX CONSTRUCTION MATERIALS ATLANTIC, LLC",70000,35.9692,-83.9495,Knoxville,building materials,Tennessee
"CEMEX CONSTRUCTION MATERIALS ATLANTIC, LLC",7200,35.9692,-83.9495,Knoxville,building materials,Tennessee
MUELLER CO. LLC,13800,35.0657,-85.2488,Chattanooga,plumbing supplies,Tennessee
"INVISTA S.A R.L., LLC",5000,35.0657,-85.2488,Chattanooga,diversified,Tennessee
"NISSAN NORTH AMERICA, INC.",6000,35.2162,-86.0759,Decherd,motor vehicles,Tennessee
AMERICAN ZINC RECYCLING CORPORATION,8000,35.8692,-84.6731,Rockwood,zinc recycling,Tennessee
"MAGNETI MARELLI OF TENNESSEE DBA AUTOMOTIVE LIGHTING NORTH AMERICA, LLC",73500,35.1934,-87.0353,Pulaski,motor vehicles,Tennessee
"AGC FLAT GLASS NORTH AMERICA, INC. - GREENLAND PLANT",8550,36.5206,-82.7142,Church Hill,diversified,Tennessee
RITCHIE BROTHERS AUCTIONEERS,8250,36.2038,-86.3466,Lebanon,miscellaneous services,Tennessee
"PLUS MARK, INC.",5000,35.9214,-86.8524,Franklin,greeting cards,Tennessee
EXIDE TECHNOLOGIES,10000,36.5572,-82.2144,Bristol,batteries,Tennessee
EXIDE TECHNOLOGIES,70663,36.5572,-82.2144,Bristol,batteries,Tennessee
"JOHNSON MATTHEY, INC.",5000,35.8873,-83.5678,Sevierville,metals,Tennessee
"IAC SPRINGFIELD, LLC",12500,36.4945,-86.8706,Springfield,investment management,Tennessee
"IAC SPRINGFIELD, LLC",17500,36.4945,-86.8706,Springfield,investment management,Tennessee
"TOHO TENAX AMERICA, INC",5250,35.8692,-84.6731,Rockwood,chemicals,Tennessee
"TOHO TENAX AMERICA, INC",6925,35.8692,-84.6731,Rockwood,chemicals,Tennessee
AMERICAN ZINC RECYCLING CORPORATION,14000,35.8692,-84.6731,Rockwood,zinc recycling,Tennessee
AMERICAN ZINC RECYCLING CORPORATION,13100,35.8692,-84.6731,Rockwood,zinc recycling,Tennessee
TITAN TIRE COPORATION OF UNION CITY,5000,36.4265,-89.0477,Union City,off-highway wheel and tire products,Tennessee
TITAN TIRE COPORATION OF UNION CITY,7000,36.4265,-89.0477,Union City,off-highway wheel and tire products,Tennessee
"HERAEUS METAL PROCESSING, LLC",26000,36.1038,-84.5859,Wartburg,diversified,Tennessee
"HERAEUS METAL PROCESSING, LLC",9000,36.1038,-84.5859,Wartburg,diversified,Tennessee
"HERAEUS METAL PROCESSING, LLC",36000,36.1038,-84.5859,Wartburg,diversified,Tennessee
"HERAEUS METAL PROCESSING, LLC",67500,36.1038,-84.5859,Wartburg,diversified,Tennessee
"HERAEUS METAL PROCESSING, LLC",67500,36.1038,-84.5859,Wartburg,diversified,Tennessee
NGK METALS CORPORATION,13000,35.6027,-84.4718,Sweetwater,automotive parts,Tennessee
GERDAU AMERISTEEL US INC,10000,35.6533,-88.8352,Jackson,steel,Tennessee
ARMSTRONG HARDWOOD FLOORING COMPANY,10000,35.6533,-88.8352,Jackson,private equity (including portfolio companies),Tennessee
ARMSTRONG HARDWOOD FLOORING COMPANY,125000,35.6533,-88.8352,Jackson,private equity (including portfolio companies),Tennessee
KIMBERLY-CLARK CORP.,40000,35.7414,-84.3698,Loudon,personal care products,Tennessee
KIMBERLY-CLARK CORP.,27000,35.7414,-84.3698,Loudon,personal care products,Tennessee
ALBEMARLE U S INC,16500,36.0163,-87.9696,New Johnsonville,chemicals,Tennessee
BFI WASTE SYSTEMS OF TENNESSEE DBA CARTER VALLEY LANDFILL,7500,36.5206,-82.7142,Church Hill,waste management,Tennessee
BAE SYSTEMS ORDNANCE SYSTEMS INC. HOLSTON ARMY AMMUNITION PLANT,12000,36.522,-82.5453,Kingsport,aerospace & military contracting,Tennessee
"AGC FLAT GLASS NORTH AMERICA, INC. - GREENLAND PLANT",8750,36.5206,-82.7142,Church Hill,diversified,Tennessee
"AGC FLAT GLASS NORTH AMERICA, INC. - GREENLAND PLANT",5000,36.5206,-82.7142,Church Hill,diversified,Tennessee
"AGC FLAT GLASS NORTH AMERICA, INC. - GREENLAND PLANT",8950,36.5206,-82.7142,Church Hill,diversified,Tennessee
KILGORE FLARES COMPANY LLC,6000,35.3565,-88.9542,Toone,aerospace & military contracting,Tennessee
