Company Name ,Account Number,Country ,Reporting Year,Ticker Symbol ,ISIN ,Disclosure Score,Performance Band,Parent Account ,Permission,Response Status,Scope 1 (metric tonnes CO2e),Scope 2 (metric tonnes CO2e),Country Location
H.J. Heinz Company,8218,USA,2013,HNZ US,US4230741039,27,,,Not public,AQ*,,,"(37.09024, -95.712891)"
Halliburton Company,8027,USA,2013,HAL US,US4062161017,65,D,,Public,AQ*,4211808,839363,"(37.09024, -95.712891)"
Hang Seng Bank,8057,Hong Kong,2013,11 HK,HK0011000095,42,,HSBC Holdings plc,Public,AQ*,,24616.59,"(22.396428, 114.109497)"
HCP Inc.,23217,USA,2013,HCP US,US40414L1098,97,A-,,Public,AQ*,28940,216887,"(37.09024, -95.712891)"
HDFC Bank Ltd,8167,India,2013,HDFCB IN,INE040A01026,75,E,Housing Development Finance Corporation,Public,AQ*,5872.23,347770.21,"(20.593684, 78.96288)"
Heineken NV,8212,Netherlands,2013,HEIA NA,NL0000009165,96,B,Heineken Holding NV,Public,AQ*,1263773,737418,"(52.132633, 5.291266)"
Hermes International,8264,France,2013,RMS FP,FR0000052292,,,,,NR,,,"(46.227638, 2.213749)"
Hess Corporation,8274,USA,2013,HES US,US42809H1077,97,B,,Public,AQ*,7409486,584695,"(37.09024, -95.712891)"
Hewlett-Packard,23195,USA,2013,HPQ US,US4282361033,99,A,,Public,AQ*,246000,1643000,"(37.09024, -95.712891)"
Hindustan Unilever,8359,India,2013,HUVR IN,INE030A01027,,,Unilever plc,,SA,,,"(20.593684, 78.96288)"
"Hitachi, Ltd.",8338,Japan,2013,6501 JP,JP3788600009,95,B,,Public,AQ*,912154,3313114,"(36.204824, 138.252924)"
Holcim Ltd,8525,Switzerland,2013,HOLN VX,CH0012214059,82,C,,Public,AQ*,102102123,6600687,"(46.818188, 8.227512)"
Hon Hai Precision Industry,21422,Taiwan,2013,2317 TT,TW0002317005,,,Foxconn International Holdings,,SA,,,"(23.69781, 120.960515)"
Honda Motor Company,8566,Japan,2013,7267 JP,JP3854600008,99,A,,Public,AQ*,1410000,3540000,"(36.204824, 138.252924)"
Honeywell International Inc.,8553,USA,2013,HON US,US4385161066,74,B,,Public,AQ*,5532844,1756275,"(37.09024, -95.712891)"
Hong Kong & China Gas,8558,Hong Kong,2013,3 HK,HK0003000038,,,,,NR,,,"(22.396428, 114.109497)"
Hong Kong Exchanges & Clearing,8560,Hong Kong,2013,388 HK,HK0388045442,76,D,,Not public,AQ*,,,"(22.396428, 114.109497)"
Housing Development Finance Corporation,8594,India,2013,HDFC IN,INE001A01036,,,,,NR,,,"(20.593684, 78.96288)"
HSBC Holdings plc,8611,United Kingdom,2013,HSBA LN,GB0005405286,97,A,,Public,AQ*,64918,688827,"(55.378051, -3.435973)"
Husky Energy Inc.,8675,Canada,2013,HSE CN,CA4480551031,86,C,,Public,AQ*,9171000,2381000,"(56.130366, -106.346771)"
Hutchison Whampoa,8682,Hong Kong,2013,13 HK,HK0013000119,,,,,NR,,,"(22.396428, 114.109497)"
Hyundai Mobis,8713,South Korea,2013,012330 KS,KR7012330007,94,B,,Public,AQ*,40966.85,291956.94,"(35.907757, 127.766922)"
Hyundai Motor,8708,South Korea,2013,005380 KS,KR7005380001,87,B,,Public,AQ*,877211,1533990,"(35.907757, 127.766922)"
Iberdrola SA,8698,Spain,2013,IBE SM,ES0144580Y14,99,B,,Public,AQ*,35461092,7189301,"(40.463667, -3.74922)"
ICICI Bank Limited,8776,India,2013,ICICIBC IN,INE090A01013,,,,,NR,,,"(20.593684, 78.96288)"
"Illinois Tool Works, Inc.",8858,USA,2013,ITW US,US4523081093,79,C,,Not public,AQ*,,,"(37.09024, -95.712891)"
Imperial Oil,8886,Canada,2013,IMO CN,CA4530384086,62,D,,Public,AQ*,9780351,1367700,"(56.130366, -106.346771)"
Imperial Tobacco Group,8884,United Kingdom,2013,IMT LN,GB0004544929,83,B,,Public,AQ*,144153,163819,"(55.378051, -3.435973)"
Inditex,9031,Spain,2013,ITX SM,ES0148396015,80,B,,Public,AQ*,24478.97,290119.56,"(40.463667, -3.74922)"
Industrial And Commercial Bank Of China Limited,9039,China,2013,601398 CH,CNE000001P37,5,,,Not public,AQ*,,,"(35.86166, 104.195397)"
Industrias Peñoles,9065,Mexico,2013,PE&OLES* MM,MXP554091415,46,,,Public,AQ*,674687,1747388,"(23.634501, -102.552784)"
Infosys Limited,9080,India,2013,INFO IN,INE009A01021,92,A,,Public,AQ*,28014.6,134229.78,"(20.593684, 78.96288)"
ING Group,9033,Netherlands,2013,INGA NA,NL0000303600,96,B,,Public,AQ*,27039,87735,"(52.132633, 5.291266)"
Inpex Corporation,9134,Japan,2013,1605 JP,JP3294460005,96,B,,Public,AQ*,485041,27981,"(36.204824, 138.252924)"
Intel Corporation,9298,USA,2013,INTC US,US4581401001,85,B,,Public,AQ*,794759,2331048,"(37.09024, -95.712891)"
International Business Machines (IBM),9284,USA,2013,IBM US,US4592001014,86,B,,Public,AQ*,541584,2208459,"(37.09024, -95.712891)"
Intesa Sanpaolo S.p.A,9363,Italy,2013,ISP IM,IT0000072618,92,B,,Public,AQ*,58993.85,54539.09,"(41.87194, 12.56738)"
Intuitive Surgical Inc.,9367,USA,2013,ISRG US,US46120E6023,,,,,NR,,,"(37.09024, -95.712891)"
Itaú Unibanco Holding S.A.,9578,Brazil,2013,ITUB4 BZ,BRITUBACNPR1,83,C,,Public,AQ*,8856.8,48890.5,"(-14.235004, -51.92528)"
ITC Limited,9535,India,2013,ITC IN,INE154A01025,85,B,,Public,AQ*,1150203,172121,"(20.593684, 78.96288)"
Japan Tobacco Inc.,9712,Japan,2013,2914 JP,JP3726800000,96,B,,Not public,AQ*,,,"(36.204824, 138.252924)"
Jardine Matheson,9728,Hong Kong,2013,JM SP,BMG507361001,,,,,NR,,,"(22.396428, 114.109497)"
Jardine Strategic,9707,Hong Kong,2013,JS SP,BMG507641022,,,,,NR,,,"(22.396428, 114.109497)"
Johnson & Johnson,9829,USA,2013,JNJ US,US4781601046,98,A-,,Public,AQ*,329556,853700,"(37.09024, -95.712891)"
Johnson Controls,9831,USA,2013,JCI US,US4783661071,94,A-,,Public,AQ*,866181,1465658,"(37.09024, -95.712891)"
JPMorgan Chase & Co.,9871,USA,2013,JPM US,US46625H1005,91,B,,Public,AQ*,83343,1219748,"(37.09024, -95.712891)"
KDDI Corporation,9995,Japan,2013,9433 JP,JP3496400007,72,C,,Public,AQ*,2947,1032629,"(36.204824, 138.252924)"
Kellogg Company,10056,USA,2013,K US,US4878361082,84,B,,Public,AQ*,536069,671729,"(37.09024, -95.712891)"
Kering,14930,France,2013,KER FP,FR0000121485,90,B,,Public,AQ*,15078,98950,"(46.227638, 2.213749)"
Kia Motors,10076,South Korea,2013,000270 KS,KR7000270009,,,,Not public,DP,,,"(35.907757, 127.766922)"
Kimberly-Clark Corporation,10148,USA,2013,KMB US,US4943681035,72,C,,Public,AQ*,2461675,2967804,"(37.09024, -95.712891)"
Kinder Morgan Inc.,10150,USA,2013,KMI US,,,,,,NR,,,"(37.09024, -95.712891)"
Komatsu Ltd.,10239,Japan,2013,6301 JP,JP3304200003,95,A,,Public,AQ*,123754,354601,"(36.204824, 138.252924)"
Korea Electric Power Corporation,10268,South Korea,2013,015760 KS,KR7015760002,91,B,,Public,AQ*,1174220,132861,"(35.907757, 127.766922)"
Kraft Foods,10312,USA,2013,KRFT US,US50076Q1067,81,B,,Public,AQ*,477813,695225,"(37.09024, -95.712891)"
Kumba Iron Ore,10350,South Africa,2013,KIO SJ,ZAE000085346,98,B,Anglo American,Public,AQ*,448274,516315,"(-30.559482, 22.937506)"
Lafarge S.A.,10418,France,2013,LG FP,FR0000120537,96,B,,Public,AQ*,97354270,8907096,"(46.227638, 2.213749)"
Larsen & Toubro,10484,India,2013,LT IN,INE018A01030,83,B,,Public,AQ*,424351,248130,"(20.593684, 78.96288)"
Las Vegas Sands Corporation,10494,USA,2013,LVS US,US5178341070,98,A-,,Public,AQ*,225157,821527,"(37.09024, -95.712891)"
LG Chem,10667,South Korea,2013,051910 KS,KR7051910008,95,B,,Public,AQ*,4454747,1865116,"(35.907757, 127.766922)"
Linde AG,22158,Germany,2013,LIN GR,DE0006483001,93,A-,,Public,AQ*,6100000,9800000,"(51.165691, 10.451526)"
Lloyds Banking Group,10781,United Kingdom,2013,LLOY LN,GB0008706128,90,B,,Public,AQ*,49414,290726,"(55.378051, -3.435973)"
Lockheed Martin Corporation,10820,USA,2013,LMT US,US5398301094,91,A,,Public,AQ*,249491,985006,"(37.09024, -95.712891)"
L'Oréal,10389,France,2013,OR FP,FR0000120321,94,A,,Public,AQ*,66920,126500,"(46.227638, 2.213749)"
"Lowe's Companies, Inc.",11017,USA,2013,LOW US,US5486611073,85,D,,Public,AQ*,303721,2552740,"(37.09024, -95.712891)"
Lukoil,11043,Russia,2013,LKOH RU,RU0009024277,,,,Not public,DP,,,"(61.52401, 105.318756)"
Luxottica Group,11070,Italy,2013,LUX IM,IT0001479374,,,,Not public,DP,,,"(41.87194, 12.56738)"
LVMH,11063,France,2013,MC FP,FR0000121014,67,C,,Public,AQ*,48365,299150,"(46.227638, 2.213749)"
LyondellBasell Industries Cl A,11085,Netherlands,2013,DLY GR,NL0009434992,,,,,NR,,,"(52.132633, 5.291266)"
Magnit,22843,Russia,2013,MGNT RU,RU000A0JKQU8,,,,Not public,DP,,,"(61.52401, 105.318756)"
Malayan Banking,11289,Malaysia,2013,MAY MK,MYL1155OO000,67,C,,Public,AQ*,651.6,88426.6,"(4.210484, 101.975766)"
Manulife Financial Corp.,11332,Canada,2013,MFC CN,CA56501R1064,84,C,,Public,AQ*,213835,195565,"(56.130366, -106.346771)"
Marathon Oil Corporation,11347,USA,2013,MRO US,US5658491064,,,,,NR,,,"(37.09024, -95.712891)"
Marathon Petroleum,36606,USA,2013,MPC US,US56585A1025,,,,Public,IN,,,"(37.09024, -95.712891)"
"Marsh & McLennan Companies, Inc.",11383,USA,2013,MMC US,US5717481023,98,B,,Public,AQ*,3429.21,97423.43,"(37.09024, -95.712891)"
MasterCard Incorporated,11421,USA,2013,MA US,US57636Q1040,43,,,Public,AQ*,3025.8,37825,"(37.09024, -95.712891)"
McDonald's Corporation,11581,USA,2013,MCD US,US5801351017,71,D,,Not public,AQ*,,,"(37.09024, -95.712891)"
McKesson Corporation,11585,USA,2013,MCK US,US58155Q1031,,,,Not public,DP,,,"(37.09024, -95.712891)"
"Medtronic, Inc.",11651,USA,2013,MDT US,US5850551061,61,D,,Public,AQ*,31460,170685,"(37.09024, -95.712891)"
"Merck & Co., Inc.",11765,USA,2013,MRK US,US58933Y1055,87,B,,Public,AQ*,1053000,927000,"(37.09024, -95.712891)"
"MetLife, Inc.",11796,USA,2013,MET US,US59156R1086,92,A-,,Not public,AQ*,,,"(37.09024, -95.712891)"
Microsoft Corporation,11930,USA,2013,MSFT US,US5949181045,96,A,,Public,AQ*,48516,1207419,"(37.09024, -95.712891)"
Mitsubishi Corporation,12112,Japan,2013,8058 JP,JP3898400001,67,D,,Not public,AQ*,,,"(36.204824, 138.252924)"
Mitsubishi Electric Corporation,12144,Japan,2013,6503 JP,JP3902400005,60,D,,Public,AQ*,322000,791000,"(36.204824, 138.252924)"
"Mitsubishi Estate Co., Ltd.",12145,Japan,2013,8802 JP,JP3899600005,76,C,,Not public,AQ*,,,"(36.204824, 138.252924)"
"Mitsubishi UFJ Financial Group, Inc.",12271,Japan,2013,8306 JP,JP3902900004,76,C,,Public,AQ*,18556,238444,"(36.204824, 138.252924)"
"Mitsui & Co., Ltd.",12272,Japan,2013,8031 JP,JP3893600001,78,C,,Not public,AQ*,,,"(36.204824, 138.252924)"
"Mitsui Fudosan Co., Ltd.",12295,Japan,2013,8801 JP,JP3893200000,73,B,,Not public,AQ*,,,"(36.204824, 138.252924)"
"Mizuho Financial Group, Inc.",12291,Japan,2013,8411 JP,JP3885780001,89,B,,Public,AQ*,16177.45,202850.31,"(36.204824, 138.252924)"
MMC Norilsk Nickel OSJC,7574,Russia,2013,GMKN RU,RU0007288411,,,,Not public,DP,,,"(61.52401, 105.318756)"
Mondelez International Inc,42037,USA,2013,MDLZ US,,91,B,,Public,AQ*,1075761,954755,"(37.09024, -95.712891)"
Monsanto Company,12330,USA,2013,MON US,US61166W1018,70,D,,Public,AQ*,1610000,539000,"(37.09024, -95.712891)"
Morgan Stanley,12406,USA,2013,MS US,US6174464486,96,A,,Public,AQ*,13757.46,330746.62,"(37.09024, -95.712891)"
MTN Group,12546,South Africa,2013,MTN SJ,ZAE000042164,76,D,,Public,AQ*,652790,384725,"(-30.559482, 22.937506)"
MTR Corporation,12552,Hong Kong,2013,66 HK,HK0066009694,87,C,,Public,AQ*,53568,1171764,"(22.396428, 114.109497)"
Munich Re,12611,Germany,2013,MUV2 GR,DE0008430026,91,A,,Public,AQ*,64755,87106,"(51.165691, 10.451526)"
Naspers,12789,South Africa,2013,NPN SJ,ZAE000015889,59,E,,Not public,AQ*,,,"(-30.559482, 22.937506)"
National Australia Bank,12798,Australia,2013,NAB AU,AU000000NAB4,91,A,,Public,AQ*,25363,171767,"(-25.274398, 133.775136)"
National Grid,12832,United Kingdom,2013,NG/ LN,GB00B08SNH34,98,B,,Public,AQ*,7913978,4547930,"(55.378051, -3.435973)"
"National Oilwell Varco, Inc.",12843,USA,2013,NOV US,US6370711011,,,,,NR,,,"(37.09024, -95.712891)"
Nestlé,12942,Switzerland,2013,NESN VX,CH0038863350,100,A,,Public,AQ*,3706080,3391319,"(46.818188, 8.227512)"
Newmont Mining Corporation,13117,USA,2013,NEM US,US6516391066,92,B,,Public,AQ*,4016150,1182740,"(37.09024, -95.712891)"
"NextEra Energy, Inc.",6672,USA,2013,NEE US,US65339F1012,,,,,NR,,,"(37.09024, -95.712891)"
NIKE Inc.,13279,USA,2013,NKE US,US6541061031,70,D,,Not public,AQ*,,,"(37.09024, -95.712891)"
Nippon Steel & Sumitomo Metal Corporation,13338,Japan,2013,5401 JP,JP3381000003,85,D,,Not public,AQ*,,,"(36.204824, 138.252924)"
Nippon Telegraph & Telephone Corporation (NTT),13298,Japan,2013,9432 JP,JP3735400008,95,B,,Public,AQ*,260000,3531000,"(36.204824, 138.252924)"
"Nissan Motor Co., Ltd.",13363,Japan,2013,7201 JP,JP3672400003,99,A,,Public,AQ*,835766,2432889,"(36.204824, 138.252924)"
"Noble Energy, Inc.",13395,USA,2013,NBL US,US6550441058,76,C,,Public,AQ*,2078600,61630,"(37.09024, -95.712891)"
"Nomura Holdings, Inc.",13351,Japan,2013,8604 JP,JP3762600009,86,B,,Public,AQ*,3629,95377,"(36.204824, 138.252924)"
Nordea Bank,13400,Sweden,2013,NDA SS,SE0000427361,93,B,,Public,AQ*,,64175,"(60.128161, 18.643501)"
Norfolk Southern Corp.,13425,USA,2013,NSC US,US6558441084,90,B,,Public,AQ*,4925238,252854,"(37.09024, -95.712891)"
Novartis,13524,Switzerland,2013,NOVN VX,CH0012005267,96,B,,Public,AQ*,637838,1013238,"(46.818188, 8.227512)"
Novatek,13542,Russia,2013,NVTK RM,RU000A0DKVS5,40,,,Public,AQ*,2336375,73460,"(61.52401, 105.318756)"
Novo Nordisk A/S,13520,Denmark,2013,NOVOB DC,DK0060102614,96,B,,Public,AQ*,38587,88294,"(56.26392, 9.501785)"
NTPC Ltd,12857,India,2013,NTPC IN,INE733E01010,,,,,NR,,,"(20.593684, 78.96288)"
"NTT DOCOMO, INC.",13575,Japan,2013,9437 JP,JP3165650007,75,B,,Public,AQ*,87648,1364600,"(36.204824, 138.252924)"
Occidental Petroleum Corporation,13649,USA,2013,OXY US,US6745991058,61,E,,Public,AQ*,14270000,5600000,"(37.09024, -95.712891)"
Oil & Natural Gas,13823,India,2013,ONGC IN,INE213A01029,,,,,NR,,,"(20.593684, 78.96288)"
Oracle Corporation,14013,USA,2013,ORCL US,US68389X1054,79,C,,Public,AQ*,16481,440773,"(37.09024, -95.712891)"
Orange,6764,France,2013,ORA FP,FR0000133308,85,B,,Public,AQ*,445424,1024182,"(46.227638, 2.213749)"
Oversea-Chinese Banking,21402,Singapore,2013,OCBC SP,SG1S04926220,3,,,Public,AQ*,,,"(1.352083, 103.819836)"
"PepsiCo, Inc.",14605,USA,2013,PEP US,US7134481081,94,B,,Public,AQ*,3854784,1928490,"(37.09024, -95.712891)"
Pernod Ricard,14562,France,2013,RI FP,FR0000120693,59,E,,Public,AQ*,283345,92502,"(46.227638, 2.213749)"
PETROCHINA Company Limited,14653,China,2013,857 HK,CNE1000003W8,,,,Public,AQ*,,,"(35.86166, 104.195397)"
Petróleo Brasileiro SA - Petrobras,14654,Brazil,2013,PETR4 BZ,BRPETRACNPR6,82,C,,Public,AQ*,65983676.38,1394740.09,"(-14.235004, -51.92528)"
Pfizer Inc.,14683,USA,2013,PFE US,US7170811035,91,B,,Public,AQ*,1217736,1155762,"(37.09024, -95.712891)"
Philip Morris International,14712,USA,2013,PM US,US7181721090,97,B,,Public,AQ*,441953,433892,"(37.09024, -95.712891)"
Phillips 66,44635,USA,2013,PSX US,,,,,,NR,,,"(37.09024, -95.712891)"
Picc Property & Casualty,23051,China,2013,2328 HK,CNE100000593,,,,,NR,,,"(35.86166, 104.195397)"
Ping An Insurance Company of China,14780,China,2013,2318 HK,CNE1000003X6,,,,Public,AQ*,,,"(35.86166, 104.195397)"
"PNC Financial Services Group, Inc.",14830,USA,2013,PNC US,US6934751057,89,B,,Public,AQ*,47606,398414,"(37.09024, -95.712891)"
POSCO,14929,South Korea,2013,005490 KS,KR7005490008,97,B,,Public,AQ*,73526000,3471000,"(35.907757, 127.766922)"
Potash Corporation of Saskatchewan Inc.,14943,Canada,2013,POT CN,CA73755L1076,71,C,,Public,AQ*,7649000,1700000,"(56.130366, -106.346771)"
Power Assets Holdings Limited,8559,Hong Kong,2013,6 HK,HK0006000050,96,B,,Public,AQ*,8960000,,"(22.396428, 114.109497)"
Power Financial Corporation,14961,Canada,2013,PWF CN,CA73927C1005,86,C,,Not public,AQ*,,,"(56.130366, -106.346771)"
"PPG Industries, Inc.",14926,USA,2013,PPG US,US6935061076,60,D,,Public,AQ*,4053000,1810000,"(37.09024, -95.712891)"
Prada,44262,Italy,2013,1913 HK,,,,,,NR,,,"(41.87194, 12.56738)"
"Praxair, Inc.",15027,USA,2013,PX US,US74005P1049,98,B,,Public,AQ*,5355000,11329000,"(37.09024, -95.712891)"
Precision Castparts Corp.,15040,USA,2013,PCP US,US7401891053,,,,,NR,,,"(37.09024, -95.712891)"
Priceline.Com Inc,22321,USA,2013,PCLN US,US7415034039,,,,,NR,,,"(37.09024, -95.712891)"
Procter & Gamble Company,15132,USA,2013,PG US,US7427181091,47,,,Public,AQ*,2799000,3028000,"(37.09024, -95.712891)"
"Prudential Financial, Inc.",15306,USA,2013,PRU US,US7443201022,63,C,,Public,AQ*,5090,70613,"(37.09024, -95.712891)"
Prudential PLC,15283,United Kingdom,2013,PRU LN,GB0007099541,70,D,,Public,AQ*,12499.6,114635.67,"(55.378051, -3.435973)"
PTT,15297,Thailand,2013,PTT TB,TH0646010007,84,B,,Public,AQ*,29332000,1583000,"(15.870032, 100.992541)"
PTT Exploration & Production Public Company Limited,15294,Thailand,2013,PTTEP TB,TH0355A10Z04,85,C,PTT,Public,AQ*,4431143,1649,"(15.870032, 100.992541)"
Public Bank BHD,15296,Malaysia,2013,PBK MK,MYL1295OO004,,,,,NR,,,"(4.210484, 101.975766)"
Public Storage,15279,USA,2013,PSA US,US74460D1090,,,,,NR,,,"(37.09024, -95.712891)"
QUALCOMM Inc.,15419,USA,2013,QCOM US,US7475251036,56,D,,Public,AQ*,64782,49216,"(37.09024, -95.712891)"
Raytheon Company,15541,USA,2013,RTN US,US7551115071,98,A,,Public,AQ*,101715,435872,"(37.09024, -95.712891)"
Reckitt Benckiser,15591,United Kingdom,2013,RB/ LN,GB00B24CGK77,99,B,,Public,AQ*,104933.87,208576.14,"(55.378051, -3.435973)"
Reliance Industries,15635,India,2013,RIL IN,INE002A01018,,,,,NR,,,"(20.593684, 78.96288)"
Repsol,15669,Spain,2013,REP SM,ES0173516115,98,B,,Public,AQ*,14062806,811243,"(40.463667, -3.74922)"
Reynolds American Inc.,15774,USA,2013,RAI US,US7617131062,70,B,,Public,AQ*,107093,167402,"(37.09024, -95.712891)"
Rio Tinto,15829,United Kingdom,2013,RIO LN,GB0007188757,88,B,,Public,AQ*,26900000,16400000,"(55.378051, -3.435973)"
Roche Holding AG,15841,Switzerland,2013,ROG VX,CH0012032048,96,B,,Public,AQ*,394063,432103,"(46.818188, 8.227512)"
Rogers Communications Inc.,15916,Canada,2013,RCI/B CN,CA7751092007,68,C,,Public,AQ*,38870,159819,"(56.130366, -106.346771)"
Rolls-Royce,15941,United Kingdom,2013,RR/ LN,GB00B63H8491,85,B,,Public,AQ*,213089.45,337064.01,"(55.378051, -3.435973)"
Rosneft,15969,Russia,2013,ROSN RM,RU000A0J2Q06,,,,,NR,,,"(61.52401, 105.318756)"
Royal Bank of Canada,15980,Canada,2013,RY CN,CA7800871021,77,D,,Public,AQ*,32046,127445,"(56.130366, -106.346771)"
Royal Bank of Scotland Group,15949,United Kingdom,2013,RBS LN,GB00B7T77214,88,B,,Public,AQ*,66586,497763,"(55.378051, -3.435973)"
Royal Dutch Shell,16012,Netherlands,2013,RDSA NA,GB00B03MLX29,90,B,,Public,AQ*,72000000,9000000,"(52.132633, 5.291266)"
Royal Philips,14709,Netherlands,2013,PHIA NA,NL0000009538,100,A,,Public,AQ*,442549,408517,"(52.132633, 5.291266)"
RWE AG,16036,Germany,2013,RWE GR,DE0007037129,93,B,,Public,AQ*,181690000,1940000,"(51.165691, 10.451526)"
S.A.C.I. Falabella,16080,Chile,2013,FALAB CI,CLP3880F1085,,,,Public,IN,,,"(-35.675147, -71.542969)"
SABMiller,16101,United Kingdom,2013,SAB LN,GB0004835483,74,B,,Public,AQ*,1009825,997465,"(55.378051, -3.435973)"
Saint-Gobain,16151,France,2013,SGO FP,FR0000125007,91,B,,Public,AQ*,12801000,4550000,"(46.227638, 2.213749)"
salesforce.com,16158,USA,2013,CRM US,US79466L3024,90,C,,Public,AQ*,2349.52,29428.55,"(37.09024, -95.712891)"
Sampo Oyj,16175,Finland,2013,SAMAS FH,FI0009003305,,,,,NR,,,"(61.92411, 25.748151)"
Samsung Electronics,16191,South Korea,2013,005930 KS,KR7005930003,99,A,,Public,AQ*,2098438,5388036,"(35.907757, 127.766922)"
Sands China LTD,31550,Hong Kong,2013,1928 HK,KYG7800X1079,,,,,SA,,,"(22.396428, 114.109497)"
Sandvik AB,16277,Sweden,2013,SAND SS,SE0000667891,64,C,,Not public,AQ*,,,"(60.128161, 18.643501)"
SANOFI,16299,France,2013,SAN FP,FR0000120578,97,A-,,Public,AQ*,694600,685707,"(46.227638, 2.213749)"
SAP AG,16339,Germany,2013,SAP GR,DE0007164600,98,A,,Public,AQ*,144298,43004,"(51.165691, 10.451526)"
Sasol Limited,16366,South Africa,2013,SOL SJ,ZAE000006896,96,B,,Public,AQ*,66895000,8553000,"(-30.559482, 22.937506)"
Sberbank Rossii,16386,Russia,2013,SBER RM,RU0009029540,,,,,NR,,,"(61.52401, 105.318756)"
Schlumberger Limited,16418,USA,2013,SLB US,AN8068571086,83,C,,Public,AQ*,2200000,550000,"(37.09024, -95.712891)"
Schneider Electric,16423,France,2013,SU FP,FR0000121972,97,A,,Public,AQ*,113238,345123,"(46.227638, 2.213749)"
"Seven & I Holdings Co., Ltd.",16728,Japan,2013,3382 JP,JP3422950000,82,B,,Public,AQ*,169619,2310530,"(36.204824, 138.252924)"
"Shin-Etsu Chemical Co., Ltd.",16839,Japan,2013,4063 JP,JP3371200001,61,C,,Public,AQ*,1525214.03,2950931.71,"(36.204824, 138.252924)"
Siam Cement,16913,Thailand,2013,SCC TB,TH0003010Z04,,,,,NR,,,"(15.870032, 100.992541)"
Siam Commercial Bank PCL,22097,Thailand,2013,SCB TB,TH0015010000,,,,,NR,,,"(15.870032, 100.992541)"
Siemens Aktiengesellschaft,16919,Germany,2013,SIE GR,DE0007236101,96,A-,,Public,AQ*,1042000,1385000,"(51.165691, 10.451526)"
Sime Darby Bhd,17053,Malaysia,2013,SIME MK,MYL4197OO009,65,D,,Not public,AQ*,,,"(4.210484, 101.975766)"
Simon Property Group,17069,USA,2013,SPG US,US8288061091,98,B,,Public,AQ*,21854,496006,"(37.09024, -95.712891)"
SingTel,13899,Singapore,2013,ST SP,SG1T75931496,76,C,,Public,AQ*,6896.52,177320.68,"(1.352083, 103.819836)"
Skandinaviska Enskilda Banken AB (SEB AB),22943,Sweden,2013,SEBA SS,SE0000148884,74,B,,Public,AQ*,,9308,"(60.128161, 18.643501)"
Societe Generale,17320,France,2013,GLE FP,FR0000130809,85,B,,Public,AQ*,31763,205871,"(46.227638, 2.213749)"
SoftBank Corporation,17344,Japan,2013,9984 JP,JP3436100006,,,,,NR,,,"(36.204824, 138.252924)"
Southern Copper Corporation,17435,Peru,2013,SCCO PE,US84265V1052,,,,,NR,,,"(-9.189967, -75.015152)"
Souza Cruz S.A.,17442,Brazil,2013,CRUZ3 BZ,BRCRUZACNOR0,,,British American Tobacco,,SA,,,"(-14.235004, -51.92528)"
Spectra Energy Corp,17527,USA,2013,SE US,US8475601097,98,A,,Public,AQ*,8381680,608390,"(37.09024, -95.712891)"
SSE,16558,United Kingdom,2013,SSE LN,GB0007908733,90,B,,Public,AQ*,24560110,1364652,"(55.378051, -3.435973)"
Standard Bank Group,17637,South Africa,2013,SBK SJ,ZAE000109815,71,C,,Public,AQ*,9198,363916,"(-30.559482, 22.937506)"
Standard Chartered,17624,United Kingdom,2013,STAN LN,GB0004082847,91,B,,Public,AQ*,26560,229122,"(55.378051, -3.435973)"
Starbucks Corporation,17652,USA,2013,SBUX US,US8552441094,86,C,,Public,AQ*,239972,792644,"(37.09024, -95.712891)"
State Bank of India,22352,India,2013,SBIN IN,INE062A01012,16,,,Public,AQ*,,,"(20.593684, 78.96288)"
State Street Corporation,17690,USA,2013,STT US,US8574771031,87,C,,Public,AQ*,10009.07,98756,"(37.09024, -95.712891)"
Statoil ASA,23132,Norway,2013,STL NO,NO0010096985,86,B,,Public,AQ*,15362600,409443,"(60.472024, 8.468946)"
Stryker Corporation,17815,USA,2013,SYK US,US8636671013,53,E,,Not public,AQ*,,,"(37.09024, -95.712891)"
Sumitomo Mitsui Financial Group,17899,Japan,2013,8316 JP,JP3890350006,86,B,,Not public,AQ*,,,"(36.204824, 138.252924)"
Sun Hung Kai Props,17894,Hong Kong,2013,16 HK,HK0016000132,,,,,NR,,,"(22.396428, 114.109497)"
Suncor Energy Inc.,17929,Canada,2013,SU CN,CA8672241079,94,B,,Public,AQ*,18608320,2232478,"(56.130366, -106.346771)"
Surgutneftegas,18032,Russia,2013,SNGSP RM,RU0009029524,23,,,Not public,AQ*,,,"(61.52401, 105.318756)"
Svenska Handelsbanken,18061,Sweden,2013,SHBA SS,SE0000193120,81,B,,Public,AQ*,41.47,4889.18,"(60.128161, 18.643501)"
Swire Properties,37376,Hong Kong,2013,1972 HK,HK0000063609,,,Swire Pacific,,SA,,,"(22.396428, 114.109497)"
Swiss Re,18114,Switzerland,2013,SREN VX,CH0126881561,92,A,,Public,AQ*,4850,8800,"(46.818188, 8.227512)"
Swisscom,18124,Switzerland,2013,SCMN VX,CH0008742519,97,A,,Public,AQ*,25459,46766,"(46.818188, 8.227512)"
Syngenta International AG,18141,Switzerland,2013,SYNN VX,CH0011037469,91,B,,Public,AQ*,733000,391000,"(46.818188, 8.227512)"
Sysco Corporation,18155,USA,2013,SYY US,US8718291078,66,C,,Public,AQ*,788200,336857,"(37.09024, -95.712891)"
